,code,text,tokens
1402,"Complementing, expressing appreciation",it s a very clean graph that is easy to understand ,"['it', 's', 'a', 'very', 'clean', 'graph', 'that', 'is', 'easy', 'to', 'understand']"
1403,Asking questions,did you think about adding information regarding the source materials for the graph?!,"['did', 'you', 'think', 'about', 'adding', 'information', 'regarding', 'the', 'source', 'materials', 'for', 'the', 'graph']"
1404,"Complementing, expressing appreciation",thank you very much !,"['thank', 'you', 'very', 'much']"
1405,"Complementing, expressing appreciation","hi michal, thanks for the feedback ","['hi', 'michal', 'thanks', 'for', 'the', 'feedback']"
1407,Asking questions,do the colors in the bar chart correspond directly to your scatter plot graphs?,"['do', 'the', 'colors', 'in', 'the', 'bar', 'chart', 'correspond', 'directly', 'to', 'your', 'scatter', 'plot', 'graphs']"
1408,Negative Activating,"there are a lot of text, both in the caption of the story and in the text image slides  that sometimes makes it hard to see the information ","['there', 'are', 'a', 'lot', 'of', 'text', 'both', 'in', 'the', 'caption', 'of', 'the', 'story', 'and', 'in', 'the', 'text', 'image', 'slides', 'that', 'sometimes', 'makes', 'it', 'hard', 'to', 'see', 'the', 'information']"
1411,Asking questions,the only comment i would add is  what would you suggest if the plot has to be included in a printed magazine?,"['the', 'only', 'comment', 'i', 'would', 'add', 'is', 'what', 'would', 'you', 'suggest', 'if', 'the', 'plot', 'has', 'to', 'be', 'included', 'in', 'a', 'printed', 'magazine']"
1412,Vocatives (addressing individual),"kathleen, thank you very much i really appreciate it!","['kathleen', 'thank', 'you', 'very', 'much', 'i', 'really', 'appreciate', 'it']"
1414,Asking questions,what would be the cause of that?,"['what', 'would', 'be', 'the', 'cause', 'of', 'that']"
1415,Asking questions,is the google trend lines about cupcake vs  tiramisu?,"['is', 'the', 'google', 'trend', 'lines', 'about', 'cupcake', 'vs', 'tiramisu']"
1417,"Complementing, expressing appreciation","very interesting observations, robert!","['very', 'interesting', 'observations', 'robert']"
1418,"Complementing, expressing appreciation","hi jonathan,i really appreciate your feedback ","['hi', 'jonathan', 'i', 'really', 'appreciate', 'your', 'feedback']"
1420,Asking questions,"and are there geographical data as well, so it is possible to map the homicides in different parts of town?","['and', 'are', 'there', 'geographical', 'data', 'as', 'well', 'so', 'it', 'is', 'possible', 'to', 'map', 'the', 'homicides', 'in', 'different', 'parts', 'of', 'town']"
1421,"Complementing, expressing appreciation","hey sharon, i appreciate your feedback your criticism is valid, thank you for pointing it out ","['hey', 'sharon', 'i', 'appreciate', 'your', 'feedback', 'your', 'criticism', 'is', 'valid', 'thank', 'you', 'for', 'pointing', 'it', 'out']"
1425,"Complementing, expressing appreciation",excellent graphs,"['excellent', 'graphs']"
1427,Asking questions,is it possible to aggregate the data into larger areas?,"['is', 'it', 'possible', 'to', 'aggregate', 'the', 'data', 'into', 'larger', 'areas']"
1428,"Complementing, expressing appreciation",that is a great way to show the differences in a clear and readily understandable way ,"['that', 'is', 'a', 'great', 'way', 'to', 'show', 'the', 'differences', 'in', 'a', 'clear', 'and', 'readily', 'understandable', 'way']"
1429,Asking questions,"is that correct, or am i reading the chart wrong?","['is', 'that', 'correct', 'or', 'am', 'i', 'reading', 'the', 'chart', 'wrong']"
1430,Personal advice,"i didn t think it added much, but now that you mention it, maybe should have added for comparison sake ","['i', 'didn', 't', 'think', 'it', 'added', 'much', 'but', 'now', 'that', 'you', 'mention', 'it', 'maybe', 'should', 'have', 'added', 'for', 'comparison', 'sake']"
1431,Negative Activating,i m questioning whether this data accurately counted the percentage of ells at each school ,"['i', 'm', 'questioning', 'whether', 'this', 'data', 'accurately', 'counted', 'the', 'percentage', 'of', 'ells', 'at', 'each', 'school']"
1432,"Complementing, expressing appreciation",brilliant!,['brilliant']
1433,"Complementing, expressing appreciation",the color coding of the text is excellent ,"['the', 'color', 'coding', 'of', 'the', 'text', 'is', 'excellent']"
1434,Negative Activating,it is a barrier that it seems difficult to trace the historical change ,"['it', 'is', 'a', 'barrier', 'that', 'it', 'seems', 'difficult', 'to', 'trace', 'the', 'historical', 'change']"
1435,"Complementing, expressing appreciation","shalom david,thanks for sharing your visualization and taking time to explain it ","['shalom', 'david', 'thanks', 'for', 'sharing', 'your', 'visualization', 'and', 'taking', 'time', 'to', 'explain', 'it']"
1436,Personal advice,"the only criticism i could make (but that i don t know how to fix either, is that in the first slide, it s difficult to discern trends ","['the', 'only', 'criticism', 'i', 'could', 'make', 'but', 'that', 'i', 'don', 't', 'know', 'how', 'to', 'fix', 'either', 'is', 'that', 'in', 'the', 'first', 'slide', 'it', 's', 'difficult', 'to', 'discern', 'trends']"
1440,"Complementing, expressing appreciation",congratulations  it is well done!,"['congratulations', 'it', 'is', 'well', 'done']"
1441,Personal advice,"it would, however, be interesting to see the change in popularity of specific genres over time ","['it', 'would', 'however', 'be', 'interesting', 'to', 'see', 'the', 'change', 'in', 'popularity', 'of', 'specific', 'genres', 'over', 'time']"
1442,Negative Activating,i sometimes find the stacked bar chart difficult to interpret in terms of understanding which category has the greatest quantity,"['i', 'sometimes', 'find', 'the', 'stacked', 'bar', 'chart', 'difficult', 'to', 'interpret', 'in', 'terms', 'of', 'understanding', 'which', 'category', 'has', 'the', 'greatest', 'quantity']"
1443,Negative Activating,"without the labels, it s hard to tell the percentages","['without', 'the', 'labels', 'it', 's', 'hard', 'to', 'tell', 'the', 'percentages']"
1444,Vocatives (addressing individual),"hi eduardo,yes, i was thinking the same  ","['hi', 'eduardo', 'yes', 'i', 'was', 'thinking', 'the', 'same']"
1445,"Complementing, expressing appreciation",this is powerful and beautiful!,"['this', 'is', 'powerful', 'and', 'beautiful']"
1446,"Complementing, expressing appreciation",superb!,['superb']
1447,Asking questions,can you tell me how you inserted those images at the beginning and the end of the data visualisation?,"['can', 'you', 'tell', 'me', 'how', 'you', 'inserted', 'those', 'images', 'at', 'the', 'beginning', 'and', 'the', 'end', 'of', 'the', 'data', 'visualisation']"
1448,"Complementing, expressing appreciation",great job though!  ),"['great', 'job', 'though']"
1450,Personal advice,"perhaps it will be useful to make a scatter chart, in x axis the percentage of girls and in y axis the country income ","['perhaps', 'it', 'will', 'be', 'useful', 'to', 'make', 'a', 'scatter', 'chart', 'in', 'x', 'axis', 'the', 'percentage', 'of', 'girls', 'and', 'in', 'y', 'axis', 'the', 'country', 'income']"
1451,Personal advice,but i would suggest looking at overall death rates first ,"['but', 'i', 'would', 'suggest', 'looking', 'at', 'overall', 'death', 'rates', 'first']"
1454,Asking questions,i m curious to know what if anything surprised you about the findings?,"['i', 'm', 'curious', 'to', 'know', 'what', 'if', 'anything', 'surprised', 'you', 'about', 'the', 'findings']"
1455,Vocatives (addressing individual),"hi mario,thats an interesting topic and a very popular one nowadays ","['hi', 'mario', 'thats', 'an', 'interesting', 'topic', 'and', 'a', 'very', 'popular', 'one', 'nowadays']"
1458,Vocatives (addressing individual),"hi, david   this is extremely impressive!","['hi', 'david', 'this', 'is', 'extremely', 'impressive']"
1460,"Complementing, expressing appreciation",it gives a fairly detailed overview of the state of the country in those years ,"['it', 'gives', 'a', 'fairly', 'detailed', 'overview', 'of', 'the', 'state', 'of', 'the', 'country', 'in', 'those', 'years']"
1461,Vocatives (addressing individual),nice work julian ,"['nice', 'work', 'julian']"
1463,Personal advice,"maybe having the lines and boxes in a color different from the background would help them stand out visually, making the data easier to grasp quicker","['maybe', 'having', 'the', 'lines', 'and', 'boxes', 'in', 'a', 'color', 'different', 'from', 'the', 'background', 'would', 'help', 'them', 'stand', 'out', 'visually', 'making', 'the', 'data', 'easier', 'to', 'grasp', 'quicker']"
1464,"Complementing, expressing appreciation","thank you, mr  arias ","['thank', 'you', 'mr', 'arias']"
1466,"Complementing, expressing appreciation","hi sharon,congratulations, you explained it very well (the data) without making a graph ","['hi', 'sharon', 'congratulations', 'you', 'explained', 'it', 'very', 'well', 'the', 'data', 'without', 'making', 'a', 'graph']"
1467,Negative Activating,"i ve done a lot of cleaning (alas, mostly by hand), but there are still likely some errors ","['i', 've', 'done', 'a', 'lot', 'of', 'cleaning', 'alas', 'mostly', 'by', 'hand', 'but', 'there', 'are', 'still', 'likely', 'some', 'errors']"
1468,Asking questions,"it could be linked to more awareness in the general public about applying to receive the benefit, or a change in law ?","['it', 'could', 'be', 'linked', 'to', 'more', 'awareness', 'in', 'the', 'general', 'public', 'about', 'applying', 'to', 'receive', 'the', 'benefit', 'or', 'a', 'change', 'in', 'law']"
1472,Personal advice,if i may suggest an improvement there is a visible data gap in switzerland ,"['if', 'i', 'may', 'suggest', 'an', 'improvement', 'there', 'is', 'a', 'visible', 'data', 'gap', 'in', 'switzerland']"
1473,"Complementing, expressing appreciation","stellar work suman,beautiful, clear visualizations  annotations were well phrased and drove the story","['stellar', 'work', 'suman', 'beautiful', 'clear', 'visualizations', 'annotations', 'were', 'well', 'phrased', 'and', 'drove', 'the', 'story']"
1474,"Complementing, expressing appreciation",i think this was well done  i liked the additional breakout of bachelor s vs  master s by gender ,"['i', 'think', 'this', 'was', 'well', 'done', 'i', 'liked', 'the', 'additional', 'breakout', 'of', 'bachelor', 's', 'vs', 'master', 's', 'by', 'gender']"
1475,Negative Activating,please help me to clarify a topic,"['please', 'help', 'me', 'to', 'clarify', 'a', 'topic']"
1476,Personal advice,a bit of color in the chart might also help add clarity,"['a', 'bit', 'of', 'color', 'in', 'the', 'chart', 'might', 'also', 'help', 'add', 'clarity']"
1477,"Complementing, expressing appreciation",i liked your work very much ,"['i', 'liked', 'your', 'work', 'very', 'much']"
1478,Negative Activating,"however, two in two different moments, the graph shows a disturbing in a pattern ","['however', 'two', 'in', 'two', 'different', 'moments', 'the', 'graph', 'shows', 'a', 'disturbing', 'in', 'a', 'pattern']"
1479,Asking questions,isn t the title of each sub chart enough?,"['isn', 't', 'the', 'title', 'of', 'each', 'sub', 'chart', 'enough']"
1480,"Complementing, expressing appreciation","hi,very engaging story  i like it ","['hi', 'very', 'engaging', 'story', 'i', 'like', 'it']"
1481,Vocatives (addressing individual),"hi paolo,i can sympathize with the inconsistency in data sources ","['hi', 'paolo', 'i', 'can', 'sympathize', 'with', 'the', 'inconsistency', 'in', 'data', 'sources']"
1483,Negative Activating,always something else to do and learn ,"['always', 'something', 'else', 'to', 'do', 'and', 'learn']"
1485,Personal advice,"i would maybe suggest changing the hues of some sections so that there is less no confusion, for example the shading for recreation and clothing are somewhat close to each other ","['i', 'would', 'maybe', 'suggest', 'changing', 'the', 'hues', 'of', 'some', 'sections', 'so', 'that', 'there', 'is', 'less', 'no', 'confusion', 'for', 'example', 'the', 'shading', 'for', 'recreation', 'and', 'clothing', 'are', 'somewhat', 'close', 'to', 'each', 'other']"
1489,Personal advice,"you could use different colors for different years, but keep the same color for a given year across all countries","['you', 'could', 'use', 'different', 'colors', 'for', 'different', 'years', 'but', 'keep', 'the', 'same', 'color', 'for', 'a', 'given', 'year', 'across', 'all', 'countries']"
1491,"Complementing, expressing appreciation",very nice ,"['very', 'nice']"
1493,Negative Activating,i wasn t quite sure,"['i', 'wasn', 't', 'quite', 'sure']"
1494,Negative Activating,i find the first graph a bit confusing to visualize (maybe it s the display in my screen) ,"['i', 'find', 'the', 'first', 'graph', 'a', 'bit', 'confusing', 'to', 'visualize', 'maybe', 'it', 's', 'the', 'display', 'in', 'my', 'screen']"
1495,Vocatives (addressing individual),"hi, rodrigo   many thanks for the feedback!","['hi', 'rodrigo', 'many', 'thanks', 'for', 'the', 'feedback']"
1496,Personal advice,i think it would be great insert the level of  high blood pressure  each countries ,"['i', 'think', 'it', 'would', 'be', 'great', 'insert', 'the', 'level', 'of', 'high', 'blood', 'pressure', 'each', 'countries']"
1497,Vocatives (addressing individual),"hi, mariothank you for bringing up here so an important topic ","['hi', 'mariothank', 'you', 'for', 'bringing', 'up', 'here', 'so', 'an', 'important', 'topic']"
1499,"Complementing, expressing appreciation",the second one is fantastic ,"['the', 'second', 'one', 'is', 'fantastic']"
1507,"Complementing, expressing appreciation",i too had some trouble with flourish  i think your findings are really interesting and i hope you dig deeper!,"['i', 'too', 'had', 'some', 'trouble', 'with', 'flourish', 'i', 'think', 'your', 'findings', 'are', 'really', 'interesting', 'and', 'i', 'hope', 'you', 'dig', 'deeper']"
1508,Negative Activating,i don t know the answer ,"['i', 'don', 't', 'know', 'the', 'answer']"
1509,Asking questions,"if so, how do they differ from one another, or how are they similar?","['if', 'so', 'how', 'do', 'they', 'differ', 'from', 'one', 'another', 'or', 'how', 'are', 'they', 'similar']"
1510,Vocatives (addressing individual),thanks jonathan  that s a good tip ,"['thanks', 'jonathan', 'that', 's', 'a', 'good', 'tip']"
1512,"Complementing, expressing appreciation","hey julian,great effort and full points for choosing such an interesting subject ","['hey', 'julian', 'great', 'effort', 'and', 'full', 'points', 'for', 'choosing', 'such', 'an', 'interesting', 'subject']"
1513,Negative Activating,i feel like i m missing a lot of information,"['i', 'feel', 'like', 'i', 'm', 'missing', 'a', 'lot', 'of', 'information']"
1516,"Complementing, expressing appreciation","very good work, and thanks for sharing your conclusions with us  it is very fruitful and has helped me to a better understand the graph","['very', 'good', 'work', 'and', 'thanks', 'for', 'sharing', 'your', 'conclusions', 'with', 'us', 'it', 'is', 'very', 'fruitful', 'and', 'has', 'helped', 'me', 'to', 'a', 'better', 'understand', 'the', 'graph']"
1517,Asking questions,did you find that any of your flourish charts explained or explored the data in a meaningful way?,"['did', 'you', 'find', 'that', 'any', 'of', 'your', 'flourish', 'charts', 'explained', 'or', 'explored', 'the', 'data', 'in', 'a', 'meaningful', 'way']"
1518,Negative Activating,"i wonder what would happen, if you set this data in relation to the gdp growth of the respective countries ","['i', 'wonder', 'what', 'would', 'happen', 'if', 'you', 'set', 'this', 'data', 'in', 'relation', 'to', 'the', 'gdp', 'growth', 'of', 'the', 'respective', 'countries']"
1519,Vocatives (addressing individual),"very interesting observations, robert!","['very', 'interesting', 'observations', 'robert']"
1521,"Complementing, expressing appreciation",thank you for your comment karoliina,"['thank', 'you', 'for', 'your', 'comment', 'karoliina']"
1522,Personal advice,did you think about adding information regarding the source materials for the graph?! that is an important thing to add and note ,"['did', 'you', 'think', 'about', 'adding', 'information', 'regarding', 'the', 'source', 'materials', 'for', 'the', 'graph', 'that', 'is', 'an', 'important', 'thing', 'to', 'add', 'and', 'note']"
1523,Asking questions,did you try to make a map with your dataset?,"['did', 'you', 'try', 'to', 'make', 'a', 'map', 'with', 'your', 'dataset']"
1524,Personal advice,you can investigate reading the story of nepal and lesotho ,"['you', 'can', 'investigate', 'reading', 'the', 'story', 'of', 'nepal', 'and', 'lesotho']"
1526,Negative Activating,"the first chart, i was wandering about the grey lines  there is no country connected to them ","['the', 'first', 'chart', 'i', 'was', 'wandering', 'about', 'the', 'grey', 'lines', 'there', 'is', 'no', 'country', 'connected', 'to', 'them']"
1527,Vocatives (addressing individual),"shalom david,thanks for sharing your visualization and taking time to explain it ","['shalom', 'david', 'thanks', 'for', 'sharing', 'your', 'visualization', 'and', 'taking', 'time', 'to', 'explain', 'it']"
1528,"Complementing, expressing appreciation",it s a very complete story and well guided with the texts ,"['it', 's', 'a', 'very', 'complete', 'story', 'and', 'well', 'guided', 'with', 'the', 'texts']"
1529,Personal advice,the only suggestion i have to offer is that you may want to rethink the use of the sankey diagram,"['the', 'only', 'suggestion', 'i', 'have', 'to', 'offer', 'is', 'that', 'you', 'may', 'want', 'to', 'rethink', 'the', 'use', 'of', 'the', 'sankey', 'diagram']"
1530,"Complementing, expressing appreciation",using this dataset gave me a great idea of what i can do with another project so thank you ,"['using', 'this', 'dataset', 'gave', 'me', 'a', 'great', 'idea', 'of', 'what', 'i', 'can', 'do', 'with', 'another', 'project', 'so', 'thank', 'you']"
1532,"Complementing, expressing appreciation","congratulations, hassel!","['congratulations', 'hassel']"
1534,Personal advice,"by visualizing deaths of rock musicians versus deaths among the total population, this is something we could understand visually ","['by', 'visualizing', 'deaths', 'of', 'rock', 'musicians', 'versus', 'deaths', 'among', 'the', 'total', 'population', 'this', 'is', 'something', 'we', 'could', 'understand', 'visually']"
1536,Vocatives (addressing individual),thank you kimberly,"['thank', 'you', 'kimberly']"
1539,"Complementing, expressing appreciation","hi david, ill love this kind of graphic","['hi', 'david', 'ill', 'love', 'this', 'kind', 'of', 'graphic']"
1542,"Complementing, expressing appreciation",i loved this,"['i', 'loved', 'this']"
1545,"Complementing, expressing appreciation",your presentation offers a lot of information congratulations,"['your', 'presentation', 'offers', 'a', 'lot', 'of', 'information', 'congratulations']"
1547,Vocatives (addressing individual),thanks for the great post!perry,"['thanks', 'for', 'the', 'great', 'post', 'perry']"
1549,Personal advice,it would be really cool if you interviewed that teacher  bring it on ,"['it', 'would', 'be', 'really', 'cool', 'if', 'you', 'interviewed', 'that', 'teacher', 'bring', 'it', 'on']"
1550,"Complementing, expressing appreciation",i won t change a thing about this story ,"['i', 'won', 't', 'change', 'a', 'thing', 'about', 'this', 'story']"
1551,Vocatives (addressing individual),hello takura,"['hello', 'takura']"
1553,Negative Activating,but    but there s a problem you have not thought about other risks for the little mouse ,"['but', 'but', 'there', 's', 'a', 'problem', 'you', 'have', 'not', 'thought', 'about', 'other', 'risks', 'for', 'the', 'little', 'mouse']"
1556,Asking questions,are co2 emissions lower in the countries where the environmental taxes are higher?or are the taxes higher in those countries that emit the most?,"['are', 'co2', 'emissions', 'lower', 'in', 'the', 'countries', 'where', 'the', 'environmental', 'taxes', 'are', 'higher', 'or', 'are', 'the', 'taxes', 'higher', 'in', 'those', 'countries', 'that', 'emit', 'the', 'most']"
1558,"Complementing, expressing appreciation","thank you kimberly, good point","['thank', 'you', 'kimberly', 'good', 'point']"
1559,Asking questions,why is 30 longer than 1200?,"['why', 'is', '30', 'longer', 'than', '1200']"
1560,"Complementing, expressing appreciation","hi julian, very interesting subject, thank you!","['hi', 'julian', 'very', 'interesting', 'subject', 'thank', 'you']"
1561,Vocatives (addressing individual),hi su mi,"['hi', 'su', 'mi']"
1562,"Complementing, expressing appreciation",great share and explanation of what you did,"['great', 'share', 'and', 'explanation', 'of', 'what', 'you', 'did']"
1563,Vocatives (addressing individual),"hi tj, i am glad to hear that you had good times in my country!","['hi', 'tj', 'i', 'am', 'glad', 'to', 'hear', 'that', 'you', 'had', 'good', 'times', 'in', 'my', 'country']"
1564,Asking questions,will those areas be able to support the aging population?,"['will', 'those', 'areas', 'be', 'able', 'to', 'support', 'the', 'aging', 'population']"
1565,"Complementing, expressing appreciation","hi, rodrigo   many thanks for the feedback!","['hi', 'rodrigo', 'many', 'thanks', 'for', 'the', 'feedback']"
1567,"Complementing, expressing appreciation",thank you for this!,"['thank', 'you', 'for', 'this']"
1568,Personal advice,maybe add photos of main incidents according to the timeline of your story,"['maybe', 'add', 'photos', 'of', 'main', 'incidents', 'according', 'to', 'the', 'timeline', 'of', 'your', 'story']"
1569,Asking questions,what were your impressions of the data set and the site you used? would you use it again?,"['what', 'were', 'your', 'impressions', 'of', 'the', 'data', 'set', 'and', 'the', 'site', 'you', 'used', 'would', 'you', 'use', 'it', 'again']"
1570,"Complementing, expressing appreciation","fascinting topic and great optics, i love the """"clarissa explains it all"""" style ","['fascinting', 'topic', 'and', 'great', 'optics', 'i', 'love', 'the', 'clarissa', 'explains', 'it', 'all', 'style']"
1571,Vocatives (addressing individual),"hi kevin,thanks for your comments ","['hi', 'kevin', 'thanks', 'for', 'your', 'comments']"
1572,Vocatives (addressing individual),"hi arjen,i am certainly going to be looking for what happened","['hi', 'arjen', 'i', 'am', 'certainly', 'going', 'to', 'be', 'looking', 'for', 'what', 'happened']"
1575,"Complementing, expressing appreciation",the contrast looks great!,"['the', 'contrast', 'looks', 'great']"
1576,"Complementing, expressing appreciation",i think the slope charts were a perfect way to show this data and it made it very easy to quickly see changes over time ,"['i', 'think', 'the', 'slope', 'charts', 'were', 'a', 'perfect', 'way', 'to', 'show', 'this', 'data', 'and', 'it', 'made', 'it', 'very', 'easy', 'to', 'quickly', 'see', 'changes', 'over', 'time']"
1577,Vocatives (addressing individual),"takura,i see you took this course to heart and used every graph style available ","['takura', 'i', 'see', 'you', 'took', 'this', 'course', 'to', 'heart', 'and', 'used', 'every', 'graph', 'style', 'available']"
1580,Vocatives (addressing individual),"hi felix,fantastic job on this!","['hi', 'felix', 'fantastic', 'job', 'on', 'this']"
1581,"Complementing, expressing appreciation",it s really simple and clearly showing the trends of tourists from different countries ,"['it', 's', 'really', 'simple', 'and', 'clearly', 'showing', 'the', 'trends', 'of', 'tourists', 'from', 'different', 'countries']"
1584,Asking questions,what did you want to show us?,"['what', 'did', 'you', 'want', 'to', 'show', 'us']"
1589,Asking questions,"maybe even put that into context of the gdp (how """"valuable"""" is an average cinema admission across the countries?","['maybe', 'even', 'put', 'that', 'into', 'context', 'of', 'the', 'gdp', 'how', 'valuable', 'is', 'an', 'average', 'cinema', 'admission', 'across', 'the', 'countries']"
1590,Vocatives (addressing individual),"thank you, mr  arias ","['thank', 'you', 'mr', 'arias']"
1595,Negative Activating,i had some difficulty identifying the continent on graph 4 ,"['i', 'had', 'some', 'difficulty', 'identifying', 'the', 'continent', 'on', 'graph', '4']"
1597,Vocatives (addressing individual),thank you for your comment karoliina ,"['thank', 'you', 'for', 'your', 'comment', 'karoliina']"
1598,Asking questions,if b corp does have too much of an american connotation is that keeping some of these from participating in large part? will they come up with their own competing certification?,"['if', 'b', 'corp', 'does', 'have', 'too', 'much', 'of', 'an', 'american', 'connotation', 'is', 'that', 'keeping', 'some', 'of', 'these', 'from', 'participating', 'in', 'large', 'part', 'will', 'they', 'come', 'up', 'with', 'their', 'own', 'competing', 'certification']"
1601,"Complementing, expressing appreciation",that is a great idea ,"['that', 'is', 'a', 'great', 'idea']"
1606,Asking questions,"how would you represent it on graphic itself, though?","['how', 'would', 'you', 'represent', 'it', 'on', 'graphic', 'itself', 'though']"
1608,Vocatives (addressing individual),"hi chistopher, thanks for your comments!","['hi', 'chistopher', 'thanks', 'for', 'your', 'comments']"
1611,"Complementing, expressing appreciation","hi charlotte, very interesting topic, you have opened quite a lot the research, spared no effort to understand your data in various ways, this is very cool ","['hi', 'charlotte', 'very', 'interesting', 'topic', 'you', 'have', 'opened', 'quite', 'a', 'lot', 'the', 'research', 'spared', 'no', 'effort', 'to', 'understand', 'your', 'data', 'in', 'various', 'ways', 'this', 'is', 'very', 'cool']"
1612,"Complementing, expressing appreciation",this visualization is going to be very inspiring as i continue to use and practice with flourish ,"['this', 'visualization', 'is', 'going', 'to', 'be', 'very', 'inspiring', 'as', 'i', 'continue', 'to', 'use', 'and', 'practice', 'with', 'flourish']"
1614,"Complementing, expressing appreciation",you have a lot of talent ,"['you', 'have', 'a', 'lot', 'of', 'talent']"
1618,Personal advice,i wish you could go deeper and show the impact on afghanistan,"['i', 'wish', 'you', 'could', 'go', 'deeper', 'and', 'show', 'the', 'impact', 'on', 'afghanistan']"
1621,Asking questions,are people from the southern countries more happy than people from the northern countries?,"['are', 'people', 'from', 'the', 'southern', 'countries', 'more', 'happy', 'than', 'people', 'from', 'the', 'northern', 'countries']"
1622,"Complementing, expressing appreciation","this is excellent you used several graphic formats to demonstrate your findings  interesting and made it comical  i am sure you spent a great deal of time on this chart, and made it look so easy","['this', 'is', 'excellent', 'you', 'used', 'several', 'graphic', 'formats', 'to', 'demonstrate', 'your', 'findings', 'interesting', 'and', 'made', 'it', 'comical', 'i', 'am', 'sure', 'you', 'spent', 'a', 'great', 'deal', 'of', 'time', 'on', 'this', 'chart', 'and', 'made', 'it', 'look', 'so', 'easy']"
1624,Personal advice,"did you consider taking the wide ranges and transforming them by giving them some common denominator, such as population per square meter or mile?","['did', 'you', 'consider', 'taking', 'the', 'wide', 'ranges', 'and', 'transforming', 'them', 'by', 'giving', 'them', 'some', 'common', 'denominator', 'such', 'as', 'population', 'per', 'square', 'meter', 'or', 'mile']"
1625,Vocatives (addressing individual),"hi maseme,very interesting finding, especially when linked to the hiv treatment trend ","['hi', 'maseme', 'very', 'interesting', 'finding', 'especially', 'when', 'linked', 'to', 'the', 'hiv', 'treatment', 'trend']"
1626,"Complementing, expressing appreciation",it s a great way to visualize your data quickly to understand what patterns deserve a closer look ,"['it', 's', 'a', 'great', 'way', 'to', 'visualize', 'your', 'data', 'quickly', 'to', 'understand', 'what', 'patterns', 'deserve', 'a', 'closer', 'look']"
1627,"Complementing, expressing appreciation","hi, dima   this looks great!","['hi', 'dima', 'this', 'looks', 'great']"
1629,Personal advice,i d be very interested to view a trendline showing the general relationship between co2 and taxes ,"['i', 'd', 'be', 'very', 'interested', 'to', 'view', 'a', 'trendline', 'showing', 'the', 'general', 'relationship', 'between', 'co2', 'and', 'taxes']"
1634,Personal advice,"your suggestions would definitely make it easier to understand what the data are showing, but i do think that there will still be too much information to process ","['your', 'suggestions', 'would', 'definitely', 'make', 'it', 'easier', 'to', 'understand', 'what', 'the', 'data', 'are', 'showing', 'but', 'i', 'do', 'think', 'that', 'there', 'will', 'still', 'be', 'too', 'much', 'information', 'to', 'process']"
1635,"Complementing, expressing appreciation","thanks for your questions, they realy help me a lot!","['thanks', 'for', 'your', 'questions', 'they', 'realy', 'help', 'me', 'a', 'lot']"
1638,Asking questions,a question i have is there a significance to the size of each dot?,"['a', 'question', 'i', 'have', 'is', 'there', 'a', 'significance', 'to', 'the', 'size', 'of', 'each', 'dot']"
1640,Vocatives (addressing individual),"hi macarena,thanks a lot, that is a really useful","['hi', 'macarena', 'thanks', 'a', 'lot', 'that', 'is', 'a', 'really', 'useful']"
1641,Vocatives (addressing individual),fascinating story takura,"['fascinating', 'story', 'takura']"
1642,Vocatives (addressing individual),"hi andrew,i think it is a very good solution that allows easy comparison between different categories and different countries, as well as the evolution of values over time ","['hi', 'andrew', 'i', 'think', 'it', 'is', 'a', 'very', 'good', 'solution', 'that', 'allows', 'easy', 'comparison', 'between', 'different', 'categories', 'and', 'different', 'countries', 'as', 'well', 'as', 'the', 'evolution', 'of', 'values', 'over', 'time']"
1645,Negative Activating,"however, i can t understand the 3rd slide","['however', 'i', 'can', 't', 'understand', 'the', '3rd', 'slide']"
1646,Vocatives (addressing individual),"hey sharon, i appreciate your feedback ","['hey', 'sharon', 'i', 'appreciate', 'your', 'feedback']"
1648,"Complementing, expressing appreciation",very nice  i liked the color scheme,"['very', 'nice', 'i', 'liked', 'the', 'color', 'scheme']"
1650,Personal advice,"your graph could use a grid, too ","['your', 'graph', 'could', 'use', 'a', 'grid', 'too']"
1651,Asking questions,may i share the link?,"['may', 'i', 'share', 'the', 'link']"
1652,Asking questions,"from the data set, is there any sense of regional patterns or other outliers that might skew it (i e  major changes in some regions of the country, while others tend to be more stable)?","['from', 'the', 'data', 'set', 'is', 'there', 'any', 'sense', 'of', 'regional', 'patterns', 'or', 'other', 'outliers', 'that', 'might', 'skew', 'it', 'i', 'e', 'major', 'changes', 'in', 'some', 'regions', 'of', 'the', 'country', 'while', 'others', 'tend', 'to', 'be', 'more', 'stable']"
1653,"Complementing, expressing appreciation",i love your graph showing deaths from various diseases,"['i', 'love', 'your', 'graph', 'showing', 'deaths', 'from', 'various', 'diseases']"
1654,Vocatives (addressing individual),"hi, justine! thank you for your comments!","['hi', 'justine', 'thank', 'you', 'for', 'your', 'comments']"
1655,Personal advice,"i think if i wanted to expand on this, i definitely want to start looking at the state level to see what is going on!","['i', 'think', 'if', 'i', 'wanted', 'to', 'expand', 'on', 'this', 'i', 'definitely', 'want', 'to', 'start', 'looking', 'at', 'the', 'state', 'level', 'to', 'see', 'what', 'is', 'going', 'on']"
1656,"Complementing, expressing appreciation",very nice work with the maps and i like the way you presented your summary ,"['very', 'nice', 'work', 'with', 'the', 'maps', 'and', 'i', 'like', 'the', 'way', 'you', 'presented', 'your', 'summary']"
1657,"Complementing, expressing appreciation",there was some great information on it ,"['there', 'was', 'some', 'great', 'information', 'on', 'it']"
